run_time,vendor_folder,total_files_found,success_count,failed_count,duplicate_count,total_invoice_files_processed
2026-06-08T18:44:52,GENERAL,8,8,0,,8
2026-06-08T18:47:12,GENERAL,8,8,0,,8
2026-06-08T18:57:42,GENERAL,8,8,0,,8
2026-06-08T19:00:14,GENERAL,8,8,0,,8
2026-06-08T19:06:05,GENERAL,0,0,0,,0
2026-06-08T19:15:37,GENERAL,0,0,0,,0
2026-06-08T19:17:51,GENERAL,0,0,0,,0
2026-06-09T20:03:13,GENERAL,0,0,0,,0
2026-06-09T20:10:55,GENERAL,6,0,6,,6
2026-06-09T20:16:02,GENERAL,12,6,6,,12
2026-06-10T07:41:13,GENERAL,15,11,4,,15
2026-06-10T08:21:43,GENERAL,3,3,0,,3
2026-06-10T08:38:49,GENERAL,11,2,9,,11
2026-06-10T10:50:01,GENERAL,5,0,5,,5
